CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,PCA1,PCA2
62,Male,19,46,55,1,-0.6143498580604984,-1.4002946453646707
63,Female,67,47,52,2,1.794502500504076,1.0625374376026417
64,Female,54,47,59,2,1.1347952323799635,0.40283016947853495
65,Male,63,48,51,2,1.5645257865722,0.8865404480735273
66,Male,18,48,59,1,-0.7190762953958818,-1.3970616338945343
67,Female,43,48,50,2,0.5495915279197192,-0.12839381057894456
68,Female,68,48,48,2,1.8182593512353202,1.140274012736645
69,Male,19,48,59,1,-0.6683295824632578,-1.3463149209619107
70,Female,32,48,47,1,-0.00862231433914526,-0.686607652837804
71,Male,70,49,55,2,1.8927629148991887,1.2687573008032722
72,Female,47,49,42,2,0.7255885174488357,0.1015829033529298
73,Female,60,50,49,2,1.3583059233715686,0.7882800336784166
74,Female,60,50,56,2,1.3583059233715686,0.7882800336784166
75,Male,59,54,47,2,1.1995997616334255,0.8454927695513127
76,Male,26,54,54,1,-0.4750417651431679,-0.8291487572252656
77,Female,45,54,53,2,0.4891457805766889,0.13503878849458248
78,Male,40,54,48,1,0.23541221591356862,-0.11869477616853544
79,Female,23,54,52,1,-0.6272819039410401,-0.9813888960231364
80,Female,49,54,42,2,0.692132632307185,0.338025640225077
81,Male,57,54,51,2,1.0981063357681773,0.7439993436860656
82,Male,38,54,55,1,0.13391879004832052,-0.22018820203378262
83,Male,67,54,41,2,1.6055734650944178,1.2514664730123015
84,Female,46,54,44,2,0.5398924935093129,0.1857855014272061
85,Female,21,54,57,1,-0.7287753298062882,-1.0828823218883836
86,Male,48,54,46,2,0.641385919374561,0.28727892729245336
87,Female,55,57,58,2,0.9156433232987901,0.7234755044249583
88,Female,22,57,55,1,-0.7589982034778033,-0.9511660223516202
89,Female,34,58,60,1,-0.17702751048769458,-0.3152156049587571
90,Female,50,58,46,2,0.6349198964342901,0.4967318019632204
91,Female,68,59,55,2,1.5213708670201431,1.4371624969518249
92,Male,18,59,41,1,-1.015964779611059,-1.1001731496793545
93,Male,48,60,49,2,0.47944674616628263,0.4492181005007332
94,Female,40,60,40,0,0.0734730427052902,0.04324439703974443
95,Female,32,60,42,1,-0.3325006607557021,-0.3627293064212443
96,Male,24,60,52,1,-0.7384743642166945,-0.768703009882233
97,Female,47,60,47,2,0.4287000332336586,0.39847138756810957
98,Female,27,60,50,1,-0.5862342254188224,-0.6164628710843623
99,Male,48,61,42,2,0.4524568839649029,0.4762079627021132
100,Male,20,61,49,1,-0.9684510781485703,-0.9446999994113474
101,Female,23,62,41,1,-0.843200801552078,-0.7654699984120966
102,Female,49,62,48,2,0.4762137346961472,0.5539445378361167
103,Male,67,62,59,2,1.38965456748338,1.4673853706233415
104,Male,26,62,55,1,-0.6909606627542059,-0.6132298596142258
105,Male,49,62,56,2,0.4762137346961472,0.5539445378361167
106,Female,21,62,42,1,-0.9446942274173261,-0.8669634242773439
107,Female,66,63,50,2,1.3119179923493762,1.4436285198920977
108,Male,54,63,46,2,0.7029574371578875,0.8346679647006146
109,Male,68,63,43,2,1.4134114182146242,1.5451219457573449
110,Male,66,63,48,2,1.3119179923493762,1.4436285198920977
111,Male,65,63,52,2,1.2611712794167522,1.3928818069594742
112,Female,19,63,54,1,-1.0731775154839538,-0.9414669879412111
113,Female,38,64,42,0,-0.13597983196547683,0.04971041998001717
114,Male,19,64,46,1,-1.1001673776853336,-0.9144771257398311
115,Female,18,65,48,1,-1.1779039528193374,-0.9382339764710746
116,Female,19,65,50,1,-1.1271572398867133,-0.8874872635384511
117,Female,63,65,43,2,1.1056981291487444,1.3453681054969868
118,Female,49,65,59,2,0.395244148092008,0.6349141244402567
119,Female,51,67,43,2,0.4427578495544965,0.7903872747082636
120,Female,50,67,57,2,0.3920111366218726,0.7396405617756402
121,Male,27,67,56,0,-0.7751632608284805,-0.42753383567470243
122,Female,38,67,40,0,-0.21694941856961603,0.1306800065841571
123,Female,40,69,58,0,-0.16943571710712743,0.28615315685216425
124,Male,39,69,91,0,-0.2201824300397515,0.23540644391954066
125,Female,23,70,29,0,-1.0591196991631158,-0.5495511008010567
126,Female,31,70,77,0,-0.6531459957021236,-0.1435773973400681
127,Male,43,71,35,0,-0.07117530271201476,0.492373020052795
128,Male,40,71,95,0,-0.2234154415098869,0.3401328812549242
129,Male,59,71,11,2,0.74077210420997,1.3043204269747724
130,Male,38,71,75,0,-0.32490886737513497,0.238639455389677
131,Male,47,71,9,2,0.13181154901848144,0.6953598717832894
132,Male,39,71,75,0,-0.2741621544425109,0.28938616832230063
133,Female,25,72,34,0,-1.011605997700627,-0.39407795053304967
134,Female,31,72,71,0,-0.7071257201048831,-0.08959767293730815
135,Male,20,73,5,0,-1.2923294245651271,-0.6208216529947876
136,Female,29,73,88,0,-0.835609008171511,-0.16410123660117534
137,Female,44,73,7,0,-0.0744083141821502,0.5970994573881785
138,Male,32,73,73,0,-0.6833688693736387,-0.01186109780330455
139,Male,19,74,10,0,-1.370065999699131,-0.6445785037260313
140,Female,35,74,72,0,-0.5581185927771464,0.1673689031959462
141,Female,57,75,5,2,0.5313192295392027,1.3107864499150452
142,Male,32,75,93,0,-0.7373485937763983,0.04211862659945544
143,Female,28,76,40,0,-0.9673253077082742,-0.13387836292965893
144,Female,32,76,87,0,-0.7643384559777779,0.06910848880083542
145,Male,25,77,12,0,-1.1465553087075258,-0.2591286395261498
146,Male,28,77,97,0,-0.994315169909654,-0.10688850072827896
147,Male,48,77,36,0,0.020619088742827064,0.9080457579241928
148,Female,32,77,74,0,-0.7913283181791577,0.09609835100221539
149,Female,34,78,22,0,-0.7168247545152894,0.22458163906884251
150,Male,34,78,90,0,-0.7168247545152894,0.22458163906884251
151,Male,43,78,17,0,-0.26010433812167294,0.6813020554624548
152,Male,39,78,88,0,-0.4630911898521691,0.47831520373196046
153,Female,44,78,20,0,-0.2093576251890489,0.7320487683950785
154,Female,38,78,76,0,-0.5138379027847932,0.4275684907993369
155,Female,47,78,16,0,-0.057117486391176725,0.8842889071929493
156,Female,27,78,89,0,-1.0720517450436575,-0.13064535145952266
157,Male,37,78,1,0,-0.5645846157174172,0.3768217778667133
158,Female,30,78,78,0,-0.9198116062457856,0.021594787338348135
159,Male,34,78,1,0,-0.7168247545152894,0.22458163906884251
160,Female,30,78,73,0,-0.9198116062457856,0.021594787338348135
161,Female,56,79,35,2,0.3726130678010599,1.3679991857879414
162,Female,29,79,83,0,-0.9975481813797894,-0.002162063392895449
163,Male,19,81,5,0,-1.5589950351087891,-0.45564946831637143
164,Female,31,81,93,0,-0.9500344799173007,0.1533110868751117
165,Male,50,85,26,0,-0.09380638300296269,1.2254580814004798
166,Female,36,85,75,0,-0.8042603640596995,0.5150041003437495
167,Male,42,86,20,0,-0.5267699486653349,0.846474240140871
168,Female,33,86,95,0,-0.9834903650589514,0.38975382374725875
169,Female,36,87,27,0,-0.8582400884624589,0.5689838247465094
170,Male,32,87,63,0,-1.061226940192955,0.36599697301601514
171,Male,40,87,13,0,-0.6552532367319628,0.7719706764770039
172,Male,28,87,75,0,-1.2642137919234513,0.1630101212855208
173,Male,36,87,10,0,-0.8582400884624589,0.5689838247465094
174,Male,36,87,92,0,-0.8582400884624589,0.5689838247465094
175,Female,52,88,13,0,-0.0732825437418538,1.4079210938698667
176,Female,30,88,86,0,-1.1897102282595828,0.2914934093521478
177,Male,58,88,15,2,0.23119773385389045,1.7124013714656083
178,Male,27,88,69,0,-1.3419503670574549,0.13925327055427703
179,Male,59,93,14,2,0.14699513577961582,1.898097395405132
180,Male,35,93,90,0,-1.0709259746033613,0.6801762850221658
181,Female,37,97,32,0,-1.0773919975436321,0.8896291596929329
182,Female,32,97,86,0,-1.3311255622067524,0.635895595029815
183,Male,46,98,15,0,-0.6476614433513956,1.3733394382879252
184,Female,29,98,88,0,-1.5103555632060044,0.5106453184333242
185,Female,41,99,39,0,-0.9283848702158954,1.1465957358261871
186,Male,30,99,97,0,-1.48659871247476,0.5883818935673276
187,Female,54,101,24,0,-0.32265732649454243,1.8602827283530536
188,Male,28,101,68,0,-1.6420718627427675,0.5408681921048405
189,Female,41,103,17,0,-1.0363443190214143,1.2545551846317071
190,Female,36,103,85,0,-1.2900778836845346,1.000821619968589
191,Female,34,103,23,0,-1.3915713095497826,0.899328194103342
192,Female,32,103,69,0,-1.4930647354150306,0.7978347682380947
193,Male,33,113,8,0,-1.7122166444962041,1.1184801031845182
194,Female,38,113,91,0,-1.458483079833084,1.3722136678476362
195,Female,47,120,16,0,-1.1906916988491254,2.0178631196509085
196,Female,35,120,79,0,-1.7996522540406141,1.408902564459425
197,Female,45,126,28,0,-1.454124297922652,2.0783088669939414
198,Male,32,126,74,0,-2.113831566046765,1.4186015988698344
199,Male,32,137,18,0,-2.4107200502619417,1.7154900830850142
200,Male,30,137,83,0,-2.51221347612719,1.6139966572197668
